,service_request_id,requested_datetime,service_name,agency_responsible,council_district,status_description,lat,long
51,5080733,2018-07-02 07:15:00,STREET POTHOLE,LPM,9.0,CLOSED,38.256305771,-85.6923234942
52,5080734,2018-07-02 07:16:00,NOISE CONCERNS,METRO POLICE DEPARTMENT,5.0,CLOSED,38.261940095599996,-85.77858283
53,5080735,2018-07-02 07:18:00,UTILITY CUT,LOUISVILLE WATER COMPANY,21.0,CLOSED,38.186461486300004,-85.72346497689999
54,5080736,2018-07-02 07:19:22,PESTS,IPL,6.0,CLOSED,38.234918146300004,-85.7855108897
55,5080737,2018-07-02 07:21:00,STREET POTHOLE,LPM,26.0,CLOSED,38.2184090494,-85.6547027458
56,5080740,2018-07-02 07:24:00,LONG LINE STRIPE,PUBLIC WORKS,12.0,CLOSED,38.1586293777,-85.84933362689999
57,5080743,2018-07-02 07:25:40,INTERIOR VIOL,IPL,15.0,CLOSED,38.1844695336,-85.7934224934
58,5080747,2018-07-02 07:27:00,STREET POTHOLE,LPM,4.0,CLOSED,38.25342842,-85.76046482
59,5080749,2018-07-02 07:28:00,NEW GARBAGE CART,SWMS,9.0,CLOSED,38.2639250196,-85.6815337819
60,5080748,2018-07-02 07:29:00,HIGH GRASS WEEDS,IPL,23.0,CLOSED,38.1192173736,-85.6634948946
61,5080750,2018-07-02 07:32:00,NEW RECYCLE CART,SWMS,10.0,CLOSED,38.2205663916,-85.7338344978
62,5080751,2018-07-02 07:34:24,ILLEGAL PARKING,PARKING AUTHORITY OF RIVER CTY,9.0,CLOSED,38.25473473,-85.6922509332
63,5080753,2018-07-02 07:36:00,VAP STRUC WEEDS,IPL,23.0,CLOSED,38.118994006,-85.6624372208
64,5080754,2018-07-02 07:37:19,ILLEGAL PARKING,PARKING AUTHORITY OF RIVER CTY,9.0,CLOSED,38.2505582365,-85.7269977972
65,5080755,2018-07-02 07:38:00,WEATHER RELATED,PUBLIC WORKS,5.0,CLOSED,38.2635357079,-85.81999865819999
66,5080756,2018-07-02 07:39:00,HEALTH CONCERNS,HEALTH DEPARTMENT,16.0,CLOSED,38.340257911900004,-85.6213596197
67,5080758,2018-07-02 07:41:00,GARBAGE MISSED,SWMS,6.0,OPEN,38.2375646418,-85.7949580642
68,5079018,2018-07-02 07:43:00,RECYCLING MISSED,SWMS,9.0,CLOSED,38.2544327828,-85.6626612384
69,5080759,2018-07-02 07:45:00,VAP STRUC WEEDS,IPL,3.0,CLOSED,38.2264965388,-85.7982843427
70,5080760,2018-07-02 07:45:00,ILLEGAL DUMPING,SWMS,3.0,CLOSED,38.2267396229,-85.7873712722
71,5080764,2018-07-02 07:51:00,DAMAGE GARB CART,SWMS,8.0,CLOSED,38.2154425542,-85.6791757748
72,5080766,2018-07-02 07:58:00,EASEMENT OTHER,LPM,8.0,CLOSED,38.2367973271,-85.7186362165
73,5080768,2018-07-02 07:59:44,PESTS,IPL,10.0,CLOSED,38.2226176623,-85.7370931608
74,5080769,2018-07-02 08:00:00,EASEMNT DRAINAGE,LPM,22.0,OPEN,38.151692259200004,-85.5787612531
75,5080771,2018-07-02 08:04:00,ABANDON VEHICLE,METRO POLICE DEPARTMENT,6.0,OPEN,38.2431558985,-85.7922876145
76,5080751,2018-07-02 08:08:00,ILLEGAL PARKING,PARKING AUTHORITY OF RIVER CTY,9.0,CLOSED,38.25473473,-85.6922509332
77,5080774,2018-07-02 08:08:00,YARD WASTE MISS,SWMS,9.0,CLOSED,38.241382203,-85.65788751859999
78,5080779,2018-07-02 08:10:00,VAP STRUC WEEDS,IPL,4.0,CLOSED,38.2570801953,-85.78414742560001
79,5080780,2018-07-02 08:11:00,EXTERIOR VIOL,IPL,15.0,CLOSED,38.192464079400004,-85.7617612998
80,5080781,2018-07-02 08:12:00,STREET HAZARD,LPM,3.0,CLOSED,38.2256087835,-85.7967809843
81,5054037,2018-07-02 08:14:00,STOLEN GARB CART,SWMS,4.0,CLOSED,38.2289351233,-85.7417660417
82,5079926,2018-07-02 08:14:00,GARBAGE MISSED,SWMS,5.0,CLOSED,38.273910442399995,-85.8028246192
83,5080786,2018-07-02 08:17:51,EXTERIOR VIOL,IPL,9.0,CLOSED,38.269778004,-85.6942075029
84,5080789,2018-07-02 08:18:00,INTERIOR VIOL,IPL,5.0,CLOSED,38.254449406999996,-85.7955854577
85,5080790,2018-07-02 08:20:00,EXTERIOR VIOL,IPL,13.0,CLOSED,38.1234193902,-85.75647450550001
86,5080791,2018-07-02 08:20:00,GARBAGE MISSED,SWMS,6.0,OPEN,38.2365963369,-85.7961144054
87,5080796,2018-07-02 08:23:00,GARBAGE MISSED,SWMS,1.0,CLOSED,38.2419490163,-85.8085139703
88,5080794,2018-07-02 08:25:00,TRASH PVT PROP,IPL,22.0,CLOSED,38.1339846596,-85.5529060957
89,5080795,2018-07-02 08:26:00,RECYCLING MISSED,SWMS,21.0,CLOSED,38.1518562217,-85.7743943573
90,5080799,2018-07-02 08:29:00,ABANDON VEHICLE,METRO POLICE DEPARTMENT,2.0,CLOSED,38.190162892800004,-85.6642586008
91,5080804,2018-07-02 08:31:00,UTILITY CONCERNS,PUBLIC WORKS,26.0,CLOSED,38.217020785,-85.6511600619
92,5080805,2018-07-02 08:32:43,VAP EXTERIOR,IPL,5.0,CLOSED,38.262122786599996,-85.7780537352
93,4979035,2018-07-02 08:33:00,VAP EXTERIOR,IPL,5.0,CLOSED,38.261458141,-85.82458300260001
94,5080809,2018-07-02 08:34:05,RECYCLE BINS,SWMS,9.0,CLOSED,38.2668993478,-85.6993475562
95,5080810,2018-07-02 08:36:00,RAT BAITING,IPL,26.0,CLOSED,38.224716253800004,-85.625037867
96,5080812,2018-07-02 08:38:00,PARK MAINTAIN,METRO PARKS,21.0,CLOSED,38.1830861699,-85.7768690251
97,5080814,2018-07-02 08:40:34,MISCELLANEOUS,SWMS,1.0,CLOSED,38.2419490163,-85.8085139703
98,5080815,2018-07-02 08:41:00,VEHICLE PVT PROP,IPL,26.0,CLOSED,38.2049399165,-85.6345690193
99,5080567,2018-07-02 08:43:00,GARBAGE VIOLATIO,SWMS,15.0,CLOSED,38.2169471068,-85.75077264560001
100,5080816,2018-07-02 08:43:00,TRAF SIGNAL REPR,PUBLIC WORKS,13.0,OPEN,38.1361874718,-85.6971004252
101,5080817,2018-07-02 08:44:00,STOLEN GARB CART,SWMS,15.0,OPEN,38.1854922451,-85.7933432997
102,5080695,2018-07-02 08:47:00,ZONING CONCERNS,IPL,8.0,CLOSED,38.2299655573,-85.6952125828
103,5080818,2018-07-02 08:48:00,ABANDON VEHICLE,METRO POLICE DEPARTMENT,4.0,OPEN,38.229757858,-85.7482388784
104,5065026,2018-07-02 08:49:00,ABANDON VEHICLE,METRO POLICE DEPARTMENT,4.0,OPEN,38.2299497658,-85.7501769271
105,5080821,2018-07-02 08:51:00,TRASH PVT PROP,IPL,12.0,CLOSED,38.1618783934,-85.83796513029999
106,5080822,2018-07-02 08:51:00,ABANDON VEHICLE,METRO POLICE DEPARTMENT,4.0,OPEN,38.2307891959,-85.7480725693
107,5080823,2018-07-02 08:54:00,INTERIOR VIOL,IPL,4.0,CLOSED,38.2564838312,-85.7781022646
108,5080824,2018-07-02 08:54:00,ILLEGAL SIGN,LPM,14.0,CLOSED,38.1076461074,-85.8667163369
109,5080825,2018-07-02 08:54:00,ILLEGAL SIGN,LPM,25.0,CLOSED,38.121205615,-85.8556892103
110,5080826,2018-07-02 08:54:00,ILLEGAL SIGN,LPM,25.0,CLOSED,38.121205615,-85.8556892103
111,5080829,2018-07-02 08:54:00,ILLEGAL SIGN,LPM,14.0,OPEN,38.0853829116,-85.8798342555
112,5080831,2018-07-02 08:54:00,ILLEGAL SIGN,LPM,14.0,CLOSED,38.0853829116,-85.8798342555
